19160	108	3	11.2
5625	8370	5	79.11
146	394	11	14.08
678	1467	4	25.22
15903	163	3	23.11
143	1017	7	14.44
179	228	8	5.8
5956	120	5	19.19
104	13631	7	25.94
17084	234	3	28.26
116	2276	7	13.79
712	2888	3	21.99
104	61515	3	23.23
273	753	10	47.37
375	148	12	16.71
2647	8677	3	38.88
8809	12	7	9.33
4588	2	9	25.86
21500	108	3	12.11
101	10465	18	60.93
1040	2027	6	52.19
1795	1217	8	74.95
890	4579	4	37.75
101	30540	4	12.63
108	2643	16	33.25
16242	102	7	25.55
1732	20352	3	43.18
4249	12	12	8.82
24241	12	3	6.71
169	1529	7	26.29
105	31162	6	38.32
125	10460	10	72.17
103	27199	7	43.13
106	6867	4	4.85
102	25090	6	29.51
385	185	42	207.63
107	6998	5	9.62
1466	103	15	4.32
5985	107	4	4.97
8418	102	5	6.53
152	5432	10	68.52
102	22324	5	19.72
12479	108	3	7.91
1093	103	33	27.79
4166	12	10	4.85
120	7108	4	15.35
212	7484	3	20.74
22130	9085	7	148.03
109	9947	5	15.83
12	23518	3	6.71
2163	2355	12	144.63
891	11728	4	47.89
3306	115	3	3.86
181	1081	3	5.65
153	1061	16	64.89
19198	112	5	31.99
3723	107	9	14.18
661	111	120	536.62
103	17704	3	7.35
4910	14	12	5.73
5546	12776	4	65.81
26897	1812	3	46.56
105	6324	11	29.63
101	8228	8	8.3
109	25506	3	14.23
424	124	78	287.03
486	3562	6	50.64
7576	1785	3	35.1
8406	14	7	4.59
101	1503	52	42.01
12	1116	67	71.61
104	1040	43	56.33
549	5337	4	35.63
161	1078	5	11.2
2679	8	4	4.14
163	340	54	234.47
3378	132	7	27.39
319	130	20	20.71
30663	14	4	11.41
1113	3148	3	25.52
104	2758	11	9.65
10638	3386	5	76.3
9165	129	3	13.24
6323	124	4	15.22
4856	174	4	21.53
700	1621	9	73.76
102	1071	42	36.79
103	683	36	12.31
8619	102	9	21.95
9645	104	10	35.39
11695	101	15	48.67
129	1033	11	22.33
32007	5074	7	153.07
161	2472	3	8.82
10767	431	3	28.96
101	3981	24	32.02
17518	14	6	12.34
290	1368	3	11.37
104	2398	22	37.21
12	3841	12	7.05
127	6987	10	60.83
6622	119	3	8.7
101	7404	7	4.51
8461	31995	3	59.95
480	605	10	55.98
4987	14	12	6.05
1600	256	4	17.6
7032	103	7	12.7
2590	685	69	946.33
14485	102	5	13.01
45414	101	4	18.38
5618	11850	16	317.97
104	34918	3	13.84
28572	14	3	5.82
108	14402	3	8.87
151	1493	3	5.04
2794	2512	3	29.89
11715	105	3	5.35
2	10444	10	53.44
4102	149	8	45.11
101	20708	7	23.45
12	20848	4	9.95
18333	114	3	15.65
9466	107	3	5.23
1416	2794	7	73.03
12	40006	3	10.85
428	950	6	31.36
126	7541	3	11.4
3976	1528	3	29.2
172	8421	3	18.38
121	6883	3	9.78
130	24039	3	21.74
1480	116	22	70.9
1380	128	8	16.01
2653	8666	4	54.3
310	724	20	126.43
126	2203	6	13.78
149	2551	3	7.96
691	611	3	12.01
1168	197	10	47.44
5455	107	5	7
17	187	52	179.53
122	2061	17	66.18
105	34518	3	14.22
2156	14	74	132.56
150	4812	4	18.61
552	111	46	104.84
6816	26145	5	99.14
13985	101	7	14.25
1574	110	7	5.86
16025	104	4	12.05
4484	14	12	4.2
907	1460	8	66.11
6527	3784	3	39.18
4040	115	3	5.01
109	9060	8	30.82
104	1668	13	5
146	14979	3	20.52
